Absolute Zero,#0048BA,0%,28%,73%,217°,100%,37%,100%,73%,Crayola
Acid green,#B0BF1A,69%,75%,10%,65°,76%,43%,76%,75%,Art Paints YG07S
Aero,#7CB9E8,49%,73%,91%,206°,70%,70%,47%,91%,Maerz and Paul
African violet,#B284BE,70%,52%,75%,288°,31%,63%,31%,75%,Pantone
Air superiority blue,#72A0C1,45%,63%,76%,205°,39%,60%,41%,76%,Federal Standard 595
Alice blue,#F0F8FF,94%,97%,100%,208°,100%,97%,6%,100%,X11/Web
Alizarin,#DB2D43,86%,18%,26%,352°,71%,52%,79%,86%,Maerz and Paul
Alloy orange,#C46210,77%,38%,6%,27°,85%,42%,92%,77%,Crayola
Almond,#EED9C4,93%,85%,77%,30°,55%,85%,18%,93%,Crayola
Amaranth deep purple,#9F2B68,62%,17%,41%,328°,57%,40%,73%,62%,Maerz and Paul
Amaranth pink,#F19CBB,95%,61%,73%,338°,75%,78%,35%,95%,Maerz and Paul
Amaranth purple,#AB274F,67%,15%,31%,342°,63%,41%,77%,67%,Maerz and Paul
Amazon,#3B7A57,23%,48%,34%,147°,35%,36%,52%,48%,Xona.com
Amber,#FFBF00,100%,75%,0%,45°,100%,50%,100%,100%,RGB color model
Amethyst,#9966CC,60%,40%,80%,270°,50%,60%,50%,80%,X11/Web
Android green,#3DDC84,24%,86%,53%,148°,69%,55%,72%,86%,Google
Antique brass,#C88A65,78%,54%,40%,22°,47%,59%,49%,78%,Crayola
Antique bronze,#665D1E,40%,36%,12%,53°,55%,26%,71%,40%,ISCC-NBS
Antique fuchsia,#915C83,57%,36%,51%,316°,22%,46%,37%,57%,Plochere
Antique ruby,#841B2D,52%,11%,18%,350°,66%,31%,80%,52%,ISCC-NBS
Antique white,#FAEBD7,98%,92%,84%,34°,78%,91%,14%,98%,X11/Web
Apricot,#FBCEB1,98%,81%,69%,24°,90%,84%,29%,98%,Maerz and Paul
Aqua,#00FFFF,0%,100%,100%,180°,100%,50%,100%,100%,X11/Web
Aquamarine,#7FFFD4,50%,100%,83%,160°,100%,75%,50%,100%,X11/Web
Arctic lime,#D0FF14,82%,100%,8%,72°,100%,54%,92%,100%,Crayola
Artichoke green,#4B6F44,29%,44%,27%,110°,24%,35%,39%,44%,Pantone
Arylide yellow,#E9D66B,91%,84%,42%,51°,74%,67%,54%,91%,ColorHexa
Ash gray,#B2BEB5,70%,75%,71%,135°,9%,72%,6%,75%,ISCC-NBS
Atomic tangerine,#FF9966,100%,60%,40%,20°,100%,70%,60%,100%,Crayola
Aureolin,#FDEE00,99%,93%,0%,56°,100%,50%,100%,99%,X11/Web
Azure,#007FFF,0%,50%,100%,210°,100%,50%,100%,100%,RGB color model
Azure (X11/web color),#F0FFFF,94%,100%,100%,180°,100%,97%,6%,100%,X11/Web
Baby blue,#89CFF0,54%,81%,94%,199°,77%,74%,43%,94%,Maerz and Paul
Baby blue eyes,#A1CAF1,63%,79%,95%,209°,74%,79%,33%,95%,Plochere
Baby pink,#F4C2C2,96%,76%,76%,0°,69%,86%,20%,96%,ISCC-NBS
Baby powder,#FEFEFA,100%,100%,98%,60°,67%,99%,2%,100%,Crayola
Baker-Miller pink,#FF91AF,100%,57%,69%,344°,100%,78%,43%,100%,Byrne
Banana Mania,#FAE7B5,98%,91%,71%,43°,87%,85%,28%,98%,Crayola
Barbie Pink,#DA1884,85%,9%,52%,327°,80%,48%,89%,85%,Mattel
